method,train_seed,teacher_mode_code,teacher_support,student_success_rate,exact_mode_retention_rate
Baseline,42,37,12,0.6666666666666666,0.0
Baseline,42,38,6,0.5,0.0
Baseline,42,41,16,0.8125,0.375
Baseline,42,42,62,0.7096774193548387,0.12903225806451613
Baseline,42,49,13,0.9230769230769231,0.07692307692307693
Baseline,42,50,12,0.5,0.0
Baseline,42,69,20,0.7,0.0
Baseline,42,70,13,0.6923076923076923,0.0
Baseline,42,73,7,1.0,0.0
Baseline,42,74,23,0.8260869565217391,0.0
Baseline,42,81,28,0.75,0.0
Baseline,42,82,16,0.625,0.0
Baseline,42,133,38,0.6578947368421053,0.0
Baseline,42,134,28,0.7857142857142857,0.0
Baseline,42,137,5,0.6,0.0
Baseline,42,138,10,0.8,0.0
Baseline,42,145,18,0.8888888888888888,0.05555555555555555
Baseline,42,146,26,0.8846153846153846,0.038461538461538464
Baseline,42,261,15,0.8666666666666667,0.0
Baseline,42,262,28,0.7857142857142857,0.0
Baseline,42,265,10,0.8,0.0
Baseline,42,266,30,0.6333333333333333,0.0
Baseline,42,273,10,0.6,0.0
Baseline,42,274,14,0.5,0.0
Baseline,43,37,12,0.5833333333333334,0.0
Baseline,43,38,6,0.6666666666666666,0.0
Baseline,43,41,16,0.625,0.25
Baseline,43,42,62,0.7258064516129032,0.03225806451612903
Baseline,43,49,13,0.7692307692307693,0.0
Baseline,43,50,12,0.75,0.0
Baseline,43,69,20,0.75,0.0
Baseline,43,70,13,0.7692307692307693,0.0
Baseline,43,73,7,0.7142857142857143,0.0
Baseline,43,74,23,0.6521739130434783,0.043478260869565216
Baseline,43,81,28,0.5,0.0
Baseline,43,82,16,0.8125,0.0
Baseline,43,133,38,0.5526315789473685,0.0
Baseline,43,134,28,0.8928571428571429,0.0
Baseline,43,137,5,0.6,0.0
Baseline,43,138,10,0.5,0.0
Baseline,43,145,18,0.5,0.05555555555555555
Baseline,43,146,26,0.6153846153846154,0.0
Baseline,43,261,15,0.5333333333333333,0.0
Baseline,43,262,28,0.5714285714285714,0.0
Baseline,43,265,10,0.4,0.0
Baseline,43,266,30,0.6333333333333333,0.0
Baseline,43,273,10,0.9,0.0
Baseline,43,274,14,0.6428571428571429,0.0
Baseline,44,37,12,0.5833333333333334,0.0
Baseline,44,38,6,0.6666666666666666,0.0
Baseline,44,41,16,0.5625,0.1875
Baseline,44,42,62,0.6290322580645161,0.03225806451612903
Baseline,44,49,13,0.9230769230769231,0.0
Baseline,44,50,12,0.75,0.0
Baseline,44,69,20,0.65,0.0
Baseline,44,70,13,0.7692307692307693,0.0
Baseline,44,73,7,0.5714285714285714,0.0
Baseline,44,74,23,0.5217391304347826,0.0
Baseline,44,81,28,0.6428571428571429,0.0
Baseline,44,82,16,0.8125,0.0
Baseline,44,133,38,0.47368421052631576,0.0
Baseline,44,134,28,0.6071428571428571,0.0
Baseline,44,137,5,0.6,0.0
Baseline,44,138,10,0.4,0.1
Baseline,44,145,18,0.6666666666666666,0.05555555555555555
Baseline,44,146,26,0.6923076923076923,0.0
Baseline,44,261,15,0.5333333333333333,0.06666666666666667
Baseline,44,262,28,0.7142857142857143,0.0
Baseline,44,265,10,0.4,0.0
Baseline,44,266,30,0.6666666666666666,0.1
Baseline,44,273,10,0.8,0.0
Baseline,44,274,14,0.7142857142857143,0.0
True-mode oracle,42,37,12,0.6666666666666666,0.0
True-mode oracle,42,38,6,0.5,0.0
True-mode oracle,42,41,16,0.875,0.4375
True-mode oracle,42,42,62,0.7419354838709677,0.03225806451612903
True-mode oracle,42,49,13,0.6153846153846154,0.0
True-mode oracle,42,50,12,0.75,0.0
True-mode oracle,42,69,20,0.85,0.0
True-mode oracle,42,70,13,0.7692307692307693,0.0
True-mode oracle,42,73,7,0.7142857142857143,0.0
True-mode oracle,42,74,23,0.6956521739130435,0.0
True-mode oracle,42,81,28,0.6071428571428571,0.0
True-mode oracle,42,82,16,0.875,0.0
True-mode oracle,42,133,38,0.7631578947368421,0.0
True-mode oracle,42,134,28,0.7857142857142857,0.0
True-mode oracle,42,137,5,0.8,0.0
True-mode oracle,42,138,10,0.7,0.0
True-mode oracle,42,145,18,0.6666666666666666,0.0
True-mode oracle,42,146,26,0.7692307692307693,0.0
True-mode oracle,42,261,15,0.8,0.06666666666666667
True-mode oracle,42,262,28,0.8571428571428571,0.0
True-mode oracle,42,265,10,1.0,0.0
True-mode oracle,42,266,30,0.8,0.1
True-mode oracle,42,273,10,0.7,0.0
True-mode oracle,42,274,14,0.6428571428571429,0.0
True-mode oracle,43,37,12,0.5833333333333334,0.0
True-mode oracle,43,38,6,0.6666666666666666,0.0
True-mode oracle,43,41,16,0.8125,0.375
True-mode oracle,43,42,62,0.7903225806451613,0.03225806451612903
True-mode oracle,43,49,13,0.6923076923076923,0.0
True-mode oracle,43,50,12,0.8333333333333334,0.0
True-mode oracle,43,69,20,0.8,0.0
True-mode oracle,43,70,13,0.7692307692307693,0.0
True-mode oracle,43,73,7,0.8571428571428571,0.0
True-mode oracle,43,74,23,0.8260869565217391,0.0
True-mode oracle,43,81,28,0.5357142857142857,0.0
True-mode oracle,43,82,16,0.9375,0.0
True-mode oracle,43,133,38,0.6842105263157895,0.0
True-mode oracle,43,134,28,0.7142857142857143,0.0
True-mode oracle,43,137,5,1.0,0.0
True-mode oracle,43,138,10,0.6,0.0
True-mode oracle,43,145,18,0.8888888888888888,0.0
True-mode oracle,43,146,26,0.8076923076923077,0.0
True-mode oracle,43,261,15,0.6666666666666666,0.0
True-mode oracle,43,262,28,0.6785714285714286,0.07142857142857142
True-mode oracle,43,265,10,0.6,0.0
True-mode oracle,43,266,30,0.8,0.06666666666666667
True-mode oracle,43,273,10,0.8,0.0
True-mode oracle,43,274,14,0.7857142857142857,0.0
True-mode oracle,44,37,12,0.6666666666666666,0.0
True-mode oracle,44,38,6,0.6666666666666666,0.0
True-mode oracle,44,41,16,0.75,0.375
True-mode oracle,44,42,62,0.7419354838709677,0.03225806451612903
True-mode oracle,44,49,13,0.7692307692307693,0.07692307692307693
True-mode oracle,44,50,12,0.8333333333333334,0.0
True-mode oracle,44,69,20,0.7,0.0
True-mode oracle,44,70,13,0.8461538461538461,0.0
True-mode oracle,44,73,7,0.8571428571428571,0.0
True-mode oracle,44,74,23,0.7391304347826086,0.0
True-mode oracle,44,81,28,0.5357142857142857,0.0
True-mode oracle,44,82,16,0.8125,0.0
True-mode oracle,44,133,38,0.7631578947368421,0.0
True-mode oracle,44,134,28,0.8571428571428571,0.0
True-mode oracle,44,137,5,0.4,0.0
True-mode oracle,44,138,10,0.7,0.1
True-mode oracle,44,145,18,0.8333333333333334,0.0
True-mode oracle,44,146,26,0.6923076923076923,0.0
True-mode oracle,44,261,15,0.6666666666666666,0.0
True-mode oracle,44,262,28,0.6428571428571429,0.0
True-mode oracle,44,265,10,0.6,0.0
True-mode oracle,44,266,30,0.7333333333333333,0.03333333333333333
True-mode oracle,44,273,10,0.9,0.0
True-mode oracle,44,274,14,0.7857142857142857,0.0
K=16 offline proxy,42,37,12,0.5833333333333334,0.08333333333333333
K=16 offline proxy,42,38,6,1.0,0.0
K=16 offline proxy,42,41,16,0.5,0.125
K=16 offline proxy,42,42,62,0.6290322580645161,0.04838709677419355
K=16 offline proxy,42,49,13,0.9230769230769231,0.0
K=16 offline proxy,42,50,12,0.75,0.0
K=16 offline proxy,42,69,20,0.6,0.15
K=16 offline proxy,42,70,13,0.7692307692307693,0.0
K=16 offline proxy,42,73,7,0.7142857142857143,0.0
K=16 offline proxy,42,74,23,0.43478260869565216,0.0
K=16 offline proxy,42,81,28,0.7857142857142857,0.0
K=16 offline proxy,42,82,16,0.375,0.0
K=16 offline proxy,42,133,38,0.5789473684210527,0.0
K=16 offline proxy,42,134,28,0.8214285714285714,0.0
K=16 offline proxy,42,137,5,0.6,0.0
K=16 offline proxy,42,138,10,0.9,0.0
K=16 offline proxy,42,145,18,0.7222222222222222,0.0
K=16 offline proxy,42,146,26,0.5769230769230769,0.0
K=16 offline proxy,42,261,15,0.7333333333333333,0.0
K=16 offline proxy,42,262,28,0.4642857142857143,0.03571428571428571
K=16 offline proxy,42,265,10,0.4,0.0
K=16 offline proxy,42,266,30,0.7,0.0
K=16 offline proxy,42,273,10,0.8,0.0
K=16 offline proxy,42,274,14,0.7142857142857143,0.0
K=16 offline proxy,43,37,12,0.5,0.16666666666666666
K=16 offline proxy,43,38,6,0.8333333333333334,0.0
K=16 offline proxy,43,41,16,0.5625,0.0625
K=16 offline proxy,43,42,62,0.6290322580645161,0.08064516129032258
K=16 offline proxy,43,49,13,0.8461538461538461,0.0
K=16 offline proxy,43,50,12,0.75,0.0
K=16 offline proxy,43,69,20,0.7,0.15
K=16 offline proxy,43,70,13,0.7692307692307693,0.0
K=16 offline proxy,43,73,7,0.5714285714285714,0.0
K=16 offline proxy,43,74,23,0.6086956521739131,0.0
K=16 offline proxy,43,81,28,0.7857142857142857,0.0
K=16 offline proxy,43,82,16,0.5,0.0
K=16 offline proxy,43,133,38,0.5263157894736842,0.0
K=16 offline proxy,43,134,28,0.7142857142857143,0.0
K=16 offline proxy,43,137,5,0.8,0.0
K=16 offline proxy,43,138,10,0.9,0.0
K=16 offline proxy,43,145,18,0.5555555555555556,0.0
K=16 offline proxy,43,146,26,0.6923076923076923,0.0
K=16 offline proxy,43,261,15,0.7333333333333333,0.0
K=16 offline proxy,43,262,28,0.5714285714285714,0.03571428571428571
K=16 offline proxy,43,265,10,0.6,0.0
K=16 offline proxy,43,266,30,0.6,0.0
K=16 offline proxy,43,273,10,0.7,0.0
K=16 offline proxy,43,274,14,0.6428571428571429,0.0
K=16 offline proxy,44,37,12,0.5833333333333334,0.08333333333333333
K=16 offline proxy,44,38,6,1.0,0.0
K=16 offline proxy,44,41,16,0.4375,0.0625
K=16 offline proxy,44,42,62,0.6451612903225806,0.0967741935483871
K=16 offline proxy,44,49,13,0.8461538461538461,0.0
